epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.641,1.39062,3.53526,1.35064,0.00465,0.83338,0.20076,0.12295,1.15352,3.78336,1.30418,0.0003,0.0003,0.0003
2,493.951,1.40003,2.76309,1.35417,0.47435,0.1841,0.35574,0.21202,1.33247,3.53013,1.39912,0.000600373,0.000600373,0.000600373
3,750.955,1.48688,2.68931,1.46233,0.62322,0.175,0.13297,0.05041,1.80448,5.45487,1.96524,0.00088837,0.00088837,0.00088837
